id,name,year,site
3003,ch-Paranaense 2019,2019,Maringa BRA
3004,127th ch-NZL Open 2020,2020,Tauranga NZL
3005,ch-BLR 1st Women 2020,2020,Minsk BLR
3006,World Senior Teams +50,2020,Prague CZE
3007,ch-BLR Junior 2020,2020,Minsk BLR
3008,AZE-BLR U16 Team Battle,2020,lichess.org INT
3009,Online Olym Base A 2020,2020,chess.com INT
3010,26th Arnold Denker 2020,2020,chess.com INT
3011,Online Olym Div4 B 2020,2020,chess.com INT
3012,Online Olym Div2 A 2020,2020,chess.com INT
3013,Online Olym Top DivB 2020,2020,chess.com INT
3014,4th Innsbruck Open 2020,2020,Innsbruck AUT
3015,Calliditas Open 2020,2020,Plzen CZE
3016,31st Czech Open E 2020,2020,Pardubice CZE
3017,Asian Nat Online Cup Women,2020,chess.com INT
3018,FISU World University KO,2020,Tornelo INT
3019,Gaprindashvili Cup Women,2020,Tornelo INT
3020,CCCSA Thanksgiving IM,2020,Charlotte USA
3021,ch-POL Women's Rapid 2020,2020,Bydgoszcz POL
3022,ch-RUS Junior Girls 2020,2020,Moscow RUS
3023,ch-ISL Rapid 2020,2020,Tornelo INT
3024,Schools Friendly U11 2021,2021,lichess.org INT
3025,CCCSA Spring IM 2021,2021,Charlotte USA
3026,4NCL Online S3 Div1 2021,2021,lichess.org INT
3027,ch-CAT Sub18-20 2021,2021,Salou ESP
3028,European Online CC GpG,2021,Tornelo INT
3029,European Online CC GpF,2021,Tornelo INT
3030,ch-BLR U20 2021,2021,Minsk BLR
3031,Sharjah Blitz 2021,2021,Sharjah UAE
3032,Superliga E Kosoves 2021,2021,Prishtina KOS
3033,Banja Vrujci 1 GM 2021,2021,Banja Vrujci SRB
3034,ch-TUR w 2021,2021,Corum TUR
3035,Polish Youth Ekstraliga,2021,Lublin POL
3036,Golden Prague Open 2021,2021,Prague CZE
3037,32nd Czech Rapid G1 2021,2021,Pardubice CZE
3038,CCCSA Summer GMB 2021,2021,Charlotte USA
3039,1st Merlin Lezajsk Blitz,2021,Lezajsk POL
3040,Online Olym Div4 C 2021,2021,chess.com INT
3041,Botvinnik Cup 2021,2021,Moscow RUS
3042,Online Olym Div3 C 2021,2021,chess.com INT
3043,Asian University Women,2021,Tornelo INT
3044,I Casabermeja Open 2021,2021,Casabermeja ESP
3045,Hou Yifan Challenge 2021,2021,chess24.com INT
3046,EE Sept Blitz Open 2021,2021,Europe-Echecs INT
3047,US On/L Collegiate Rapid,2021,lichess.org INT
3048,SPICE Cup Open 2021,2021,"Clayton, MO USA"
3049,Lindores Abbey Tal Mem,2021,Riga LAT
3050,ch-KAZ 2021,2021,Nur-Sultan KAZ
3051,Bremen Silvester Open,2021,Bremen GER
3052,32nd Cracovia Open A,2021,Krakow POL
3053,Nordic-ch,1973,Grenaa
3054,Clarin GP-f,1997,Villa Gesell
3055,Rubinstein mem 34th,1997,Polanica Zdroj
3056,Terres Catalanes 15th,1997,Ampuriabrava
3057,Loures,1997,Loures
3058,SG Turm Trier,1997,Trier
3059,Masters 14th,1998,Caldas de Felgueira
3060,Amber-blind 7th,1998,Monte Carlo
3061,Sarajevo Bosnia,1998,Sarajevo
3062,Stockholm Elo,1998,Stockholm
3063,Olympic team-Beersheva,1998,Vingeit
3064,Basel Hilton op,1999,Basel
3065,HUN-ch (Women),1999,Lillafured
3066,Portuguese Masters,1999,Caldas de Felgueira
3067,Kastav,1999,Kastav
3068,Vidmar mem 13th,1999,Portoroz
3069,Continental Class Ch,2010,Arlington USA
3070,Uxbridge Premier,2010,Denham ENG
3071,2nd OCF Thanksgiving Open,2010,Stillwater USA
3072,ODEM U25-A,2011,Oberhof GER
3073,24th Schlosspark Open,2012,Wiesbaden GER
3074,Marianske Lazne Open 2013,2013,Marianske Lazne CZE
3075,Saint Louis Thanksgiving Open 2013,2013,Saint Louis USA
3076,ch-AUS 2014,2014,Melbourne AUS
3077,72nd ch-Urals 2014,2014,Tyumen RUS
3078,XVII Rhein-Main-Open 2014,2014,Bad Homburg GER
3079,ch-USA Junior 2014,2014,Saint Louis USA
3080,Polugaevsky Mem 2014,2014,Samara RUS
3081,World Youth Boys U18 2014,2014,Durban RSA
3082,World Youth Girls U18 2014,2014,Durban RSA
3083,TCh-CRO w 2014,2014,Bol CRO
3084,FSGM November 2014,2014,Budapest HUN
3085,US Chess League KO TB 2014,2014,ICC INT
3086,ITT GP SNV 2014,2014,Caracas VEN
3087,Haspa-Schachpokal Masters 2015,2015,Bargteheide CZE
3088,24th Guillermo Garcia Open 2015,2015,Santa Clara CUB
3089,25th Seacoast Trophy 2015,2015,Eforie Nord ROU
3090,ch-CHN B Women 2015,2015,Zhongshan CHN
3091,ch-CHN B Men 2015,2015,Zhongshan CHN
3092,1st Zhongfu Open 2015,2015,Shijiazhuang CHN
3093,Stare Mesto Open 2015,2015,Stare Mesto CZE
3094,ch-TUR 2015,2015,Adana TUR
3095,53rd Groningen Open 2015,2015,Groningen NED
3096,ch-AUS 2016,2016,Melbourne AUS
3097,Romanian Open 2016,2016,Alba Iulia ROU
3098,74th ch-Urals 2016,2016,Khanty-Mansiysk RUS
3099,Yangzhou China WGM Basque,2016,Yangzhou CHN
3100,World Senior Teams +65,2016,Radebeul GER
3101,VMCG GM 2016,2016,Lueneburg GER
3102,3rd Gideon Japhet Mem Op,2016,Jerusalem ISR
3103,Glorney Cup 2016,2016,Daventry ENG
3104,ch-CHN GpB Women 2016,2016,Harbin CHN
3105,ch-CHN GpB Men 2016,2016,Harbin CHN
3106,World Junior Girls 2016,2016,Bhubaneswar IND
3107,ch-CHN Rapid 2016,2016,Shenzhen CHN
3108,ch-CHN Blitz 2016,2016,Shenzhen CHN
3109,Brasschaat Open 2016,2016,Brasschaat BEL
3110,3rd Annual Southeastern,2016,Charlotte USA
3111,World Blitz 2016,2016,Doha QAT
3112,29th Staufer-Open 2017,2017,Schwaebisch Gmuend GER
3113,Gibraltar Masters 2017,2017,Caleta ENG
3114,Aeroflot Open B 2017,2017,Moscow RUS
3115,3rd Vardaris Open 2017,2017,Thessaloniki GRE
3116,39th Nezhmetdinov Mem,2017,Kazan RUS
3117,CHN Team Men 2017,2017,Beijing CHN
3118,21st Voronezh FIDE Open,2017,Voronezh RUS
3119,ch-CHN GpB Women 2017,2017,Qinhuangdao CHN
3120,27th Heart of Finland Op,2017,Jyvaskyla FIN
3121,43rd Sitges Open 2017,2017,Sitges ESP
3122,13th Gazi-Heraklion Open,2017,Gazi GRE
3123,19th Sants Open 2017,2017,Barcelona ESP
3124,2nd European Youth GP,2017,Jermuk ARM
3125,Panchenko Mem IM 2017,2017,Chelyabinsk RUS
3126,11th Kings Blitz 2017,2017,Medias ROU
